Código;Estudios;Lugar;Universitat;Àmbit;PAU y FP;Mayores de 25;Titulados Universitarios;Mayores de 45
41056;Enginyeria Matemàtica en Ciència de Dades ;Barcelona ;UPF;Ingeniería y Arquitectura;  9,890;  5,000;  6,830;  5,000
91905;Economia / Estadística ;Barcelona;UB / UPC;Ciencias Sociales y Jurídicas;  9,854;  5,000;  6,460;  5,000
81056;Criminologia / Dret ;Girona ;UdG;Ciencias Sociales y Jurídicas;  9,848;  5,813;  5,000;  5,000
61029;Infermeria ;Lleida ;UdL;Ciencias de la Salud;  9,800;  5,688;  7,620;  7,000
11055;Comunicació Audiovisual ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  9,662;  5,000;  5,000;  5,000
11062;Nutrició Humana i Dietètica ;Santa Coloma de Gramenet ;UB;Ciencias de la Salud;  9,660;  5,750;  7,770;  5,000
11057;Disseny ;Barcelona ;UB;Ingeniería y Arquitectura;  9,658;  5,688;  7,850;  5,000
11077;Ciències del Mar ;Barcelona ;UB;Ciencias;  9,574;  5,000;  5,000;  5,000
71016;Infermeria ;Tarragona ;URV;Ciencias de la Salud;  9,570;  5,800;  7,230;  5,000
81049;Educació Infantil / Educació Primària ;Girona ;UdG;Ciencias Sociales y Jurídicas;  9,560;  5,813;  6,200;  5,000
31084;Enginyeria de Sistemes Aeroespacials ;Castelldefels ;UPC;Ingeniería y Arquitectura;  9,460;  5,000;  5,000;  5,000
21096;Periodisme ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  9,430;  5,000;  5,000;  5,000
21110;Economia (Anglès);Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  9,424;  5,000;  5,000;  5,000
61005;Biotecnologia ;Lleida ;UdL;Ciencias;  9,400;  5,000;  5,000;  5,000
81006;Biologia ;Girona ;UdG;Ciencias;  9,370;  5,000;  5,000;  5,000
21099;Administració i Direcció d'Empreses  (Anglès);Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  9,348;  5,000;  5,000;  5,000
21019;Educació Social ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  9,292;  5,813;  6,930;  5,000
41024;Negocis i Màrqueting Internacionals ;Barcelona ;UPF;Ciencias Sociales y Jurídicas;  9,264;  5,000;  5,000;  5,000
71050;Educació Infantil / Educació Primària ;Tarragona;URV;Ciencias Sociales y Jurídicas;  9,260;  5,000;  7,880;  5,000
21018;Educació Primària ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  9,208;  5,000;  6,996;  5,000
31029;Enginyeria en Tecnologies Industrials ;Barcelona ;UPC;Ingeniería y Arquitectura;  9,208;  5,000;  5,000;  5,000
41055;"Fisioteràpia ""Tecnocampus"" ";Mataró ;UPF;Ciencias de la Salud;  9,200;  5,813;  7,310;  5,000
11074;Comunicació Audiovisual / Informació i Documentació ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  9,170;  5,000;  5,000;  5,000
81054;Ciències polítiques i de l'Administració / Dret ;Girona ;UdG;Ciencias Sociales y Jurídicas;  9,100;  5,000;  5,000;  5,000
81029;Infermeria ;Girona ;UdG;Ciencias de la Salud;  9,096;  6,030;  7,110;  5,000
11007;Ciències de l'Activitat Física i de l'Esport ;Barcelona ;UB;Ciencias de la Salud;  9,094;  5,000;  5,000;  7,500
21098;Administració i Direcció d'Empreses / Dret ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  9,057;  5,000;  5,000;  5,000
71023;Publicitat i Relacions Públiques ;Tarragona ;URV;Ciencias Sociales y Jurídicas;  9,030;  6,313;  5,000;  5,000
11019;Enginyeria Química ;Barcelona ;UB;Ingeniería y Arquitectura;  8,994;  5,000;  5,000;  5,000
21030;Estudis d'Àsia Oriental -Japonès- ;Cerdanyola del Vallès ;UAB;Artes y Humanidades;  8,974;  7,563;  6,180;  5,000
21109;Dret / Relacions Laborals ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  8,920;  5,000;  6,590;  5,000
31079;Arquitectura, Estudis d' ;Sant Cugat del Vallès ;UPC;Artes y Humanidades;  8,900;  5,000;  6,270;  5,000
71043;Fisioteràpia ;Reus ;URV;Ciencias de la Salud;  8,871;  5,438;  8,038;  5,000
31091;Enginyeria d'Automoció ;Manresa / Barcelona ;UPC;Ingeniería y Arquitectura;  8,864;  5,000;  5,000;  5,000
11015;Educació Social ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,857;  6,125;  7,000;  5,000
61051;Estudis Anglesos / Llengües Aplicades i Traducció ;Lleida ;UdL;Artes y Humanidades;  8,852;  7,125;  5,000;  5,000
21021;Ciència i Tecnologia dels Aliments ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud;  8,848;  5,000;  5,000;  5,000
71021;Periodisme ;Tarragona ;URV;Ciencias Sociales y Jurídicas;  8,830;  6,000;  5,000;  5,000
71032;Infermeria ;el Vendrell ;URV;Ciencias de la Salud;  8,826;  5,500;  7,200;  5,667
71028;Infermeria ;Tortosa ;URV;Ciencias de la Salud;  8,798;  5,188;  7,030;  5,000
61046;Infermeria ;Igualada ;UdL;Ciencias de la Salud;  8,782;  5,375;  7,210;  5,000
31059;Enginyeria Informàtica ;Barcelona ;UPC;Ingeniería y Arquitectura;  8,745;  5,000;  5,000;  5,000
21043;"Infermeria ""Sant Pau"" ";Barcelona ;UAB;Ciencias de la Salud;  8,744;  6,125;  7,330;  5,000
61038;Ciències de l'Activitat Física i de l'Esport / Educació Primària ;Lleida ;UdL;Ciencias de la Salud;  8,711;  5,000;  5,000;  5,000
21014;Administració i Direcció d'Empreses ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  8,694;  5,000;  5,000;  5,000
11013;Educació Infantil ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,647;  5,000;  7,790;  5,000
81002;Publicitat i Relacions Públiques ;Girona ;UdG;Ciencias Sociales y Jurídicas;  8,642;  5,000;  5,000;  5,000
31083;Disseny i Desenvolupament de Videojocs  (Anglès);Barcelona / Terrassa ;UPC;Ingeniería y Arquitectura;  8,600;  6,063;  5,000;  5,000
21103;Ciències Ambientals / Geologia ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud;  8,590;  5,000;  5,000;  5,000
11067;Comunicació i Indústries Culturals ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,580;  5,000;  5,000;  5,000
11049;Química ;Barcelona ;UB;Ciencias;  8,560;  5,000;  5,000;  5,000
21016;Educació Infantil ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  8,552;  5,000;  7,640;  5,000
21082;Química ;Cerdanyola del Vallès ;UAB;Ciencias;  8,540;  5,000;  5,000;  5,000
71053;Administració i Direcció d'Empreses / Finances i Comptabilitat ;Reus ;URV;Ciencias Sociales y Jurídicas;  8,522;  5,000;  5,000;  5,000
71007;Comunicació Audiovisual ;Tarragona ;URV;Ciencias Sociales y Jurídicas;  8,460;  5,000;  5,000;  5,000
21068;Criminologia ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  8,454;  6,188;  5,000;  5,833
41011;Criminologia i Polítiques Públiques de Prevenció ;Barcelona ;UPF;Ciencias Sociales y Jurídicas;  8,400;  5,969;  5,000;  5,000
11036;"Infermeria ""Sant Joan de Déu"" ";Esplugues de Llobregat ;UB;Ciencias de la Salud;  8,395;  5,625;  7,040;  5,000
81019;Educació Social ;Girona ;UdG;Ciencias Sociales y Jurídicas;  8,388;  7,000;  7,160;  5,000
41010;Ciències Polítiques i de l'Administració ;Barcelona ;UPF;Ciencias Sociales y Jurídicas;  8,342;  5,000;  5,000;  5,000
91902;Estadística ;Barcelona ;UB / UPC;Ciencias;  8,330;  5,000;  7,470;  5,000
21081;Psicologia ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud;  8,327;  5,250;  5,000;  5,167
11047;Psicologia ;Barcelona ;UB;Ciencias de la Salud;  8,324;  5,813;  7,300;  5,000
11012;Dret ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,286;  5,063;  7,100;  5,000
11014;Educació Primària ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,280;  5,000;  7,100;  5,000
11048;Publicitat i Relacions Públiques ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  8,280;  5,000;  5,000;  5,000
